DOY,GEE
38001,-1.393293
38002,-1.69061
38003,-1.498316
38004,-1.575449
38005,-1.30139
38006,-1.836103
38007,-1.614907
38008,-1.725757
38009,-2.171587
38010,-1.652347
38011,-2.045442
38012,-1.19229
38013,-1.859696
38014,-1.807434
38015,-1.773817
38016,-1.529347
38017,-1.783133
38018,-1.563182
38019,-1.63689
38020,-2.020558
38021,-1.927621
38022,-2.304294
38023,-2.4941
38024,-2.070599
38025,-1.922828
38026,-2.322392
38027,-2.11824
38028,-2.083371
38029,-2.188282
38030,-2.399829
38031,-2.290119
38032,-1.91658
38033,-1.569679
38034,-1.639529
38035,-2.399822
38036,-2.144042
38037,-2.128216
38038,-1.009236
38039,-2.116944
38040,-3.307911
38041,-1.571686
38042,-2.210839
38043,-2.707086
38044,-2.263599
38045,-2.367568
38046,-2.622842
38047,-2.550434
38048,-3.150752
38049,-3.701324
38050,-3.031386
38051,-2.750881
38052,-3.140435
38053,-2.911422
38054,-3.24837
38055,-3.019637
38056,-3.226302
38057,-3.73758
38058,-3.98929
38059,-3.781503
38060,-3.960268
38061,-5.169547
38062,-4.59816
38063,-5.582939
38064,-5.324554
38065,-4.891739
38066,-5.788398
38067,-5.779315
38068,-5.689899
38069,-5.510366
38070,-3.752395
38071,-4.587396
38072,-4.724078
38073,-5.449045
38074,-5.63386
38075,-3.586087
38076,-4.903901
38077,-4.363259
38078,-4.339297
38079,-4.75
38080,-4.974566
38081,-4.803847
38082,-4.323275
38083,-4.816512
38084,-4.388365
38085,-4.359782
38086,-4.622997
38087,-4.685443
38088,-4.530395
38089,-4.396248
38090,-4.420224
38091,-3.056438
38092,-3.32004
38093,-2.48431
38094,-2.91898
38095,-3.16521
38096,-2.235778
38097,-2.49896
38098,-1.671034
38099,-1.800368
38100,-1.476844
38101,-1.491648
38102,-0.9622386
38103,-1.29027
38104,-0.9870922
38105,-1.107774
38106,-1.224173
38107,-1.047549
38108,-0.8058527
38109,-0.4952745
38110,-0.8875052
38111,-0.72245
38112,-0.6926339
38113,-0.9421749
38114,-0.7189025
38115,-0.8831682
38116,-0.9068122
38117,-0.6534032
38118,-0.7542023
38119,-0.816962
38120,-0.616541
38121,-0.3606187
38122,-0.2916791
38123,-0.3022458
38124,-0.2341375
38125,-0.2566765
38126,-0.3357107
38127,-0.4636452
38128,-0.3060949
38129,-0.416663
38130,-0.2515326
38131,-0.3638498
38132,-0.2521567
38133,-0.4048404
38134,-0.3007415
38135,-0.2890391
38136,-1.085391
38137,-0.3623325
38138,-0.3072672
38139,-0.2216773
38140,-0.4087818
38141,-0.28538
38142,-0.5062137
38143,-0.3465911
38144,-0.5146028
38145,-0.5524652
38146,-0.396885
38147,-0.4417541
38148,-0.7148058
38149,-0.3509299
38150,-0.3076352
38151,-0.2410481
38152,-0.2673462
38153,-0.2414242
38154,-0.3590894
38155,-0.2723366
38156,-0.247738
38157,-0.3147002
38158,-0.3604279
38159,-0.2563445
38160,-0.5725895
38161,-0.341762
38162,-0.3822042
38163,-0.3631647
38164,-0.2788072
38165,-0.2911892
38166,-0.3352625
38167,-0.3092109
38168,-0.2845281
38169,-0.2008358
38170,-0.3409815
38171,-0.2554115
38172,-0.4181364
38173,-0.2391231
38174,-0.2972202
38175,-0.4341604
38176,-0.3197821
38177,-0.242131
38178,-0.2723795
38179,-0.3964425
38180,-0.2517888
38181,-0.3209954
38182,-0.3376427
38183,-0.3991093
38184,-0.1933552
38185,-0.2456013
38186,-0.3726708
38187,-0.2772368
38188,-0.1569479
38189,-0.1875726
38190,-0.2737553
38191,-0.2483409
38192,-0.2694719
38193,-1.193358
38194,-0.3019579
38195,-0.6454483
38196,-0.3090281
38197,-0.2703366
38198,-0.201221
38199,-0.2125183
38200,-0.2637199
38201,-0.3205307
38202,-0.3962867
38203,-0.2629337
38204,-0.851713
38205,-0.2322455
38206,-0.234317
38207,-0.3639
38208,-0.3933635
38209,-0.5070534
38210,-0.2781615
38211,-0.3393542
38212,-0.1639878
38213,-0.3153177
38214,-0.2726393
38215,-0.2023803
38216,-0.195785
38217,-0.1775705
38218,-0.2915925
38219,-0.313736
38220,-0.2500042
38221,-0.1398902
38222,-0.2025088
38223,-0.1329055
38224,-0.084472
38225,-0.1959761
38226,-0.4197387
38227,-0.365366
38228,-0.201134
38229,-0.3227362
38230,-0.3822205
38231,-0.1851359
38232,-0.1798966
38233,-0.5227172
38234,-0.408308
38235,-0.4379947
38236,-0.3731879
38237,-0.3236387
38238,-0.4578093
38239,-0.4078346
38240,-0.2956061
38241,-0.3800396
38242,-0.3653165
38243,-0.0593645
38244,-0.2819111
38245,-0.1694751
38246,-0.3602883
38247,-0.3949577
38248,-0.4950405
38249,-0.4293515
38250,-0.4939247
38251,-0.2372223
38252,-0.4880945
38253,-0.2088109
38254,-0.195081
38255,-0.1930354
38256,-0.1537802
38257,-0.1952743
38258,-0.2400353
